Nested Sampling Global Log-Evidence           :   -0.151736846054535846E+03  +/-    0.299536540912616667E+00
Nested Importance Sampling Global Log-Evidence:   -0.155442664645517681E+03  +/-    0.502504323830266289E-01

Dim No.       Mean        Sigma
   1    0.560573040000000219E+04    0.161483844669469648E-03
   2    0.296579000000000974E+02                         NaN
   3    0.529549181171619331E-13    0.330333954339747687E-13
   4    0.566551169999999729E+04    0.339829367848512056E-03
   5    0.356489000000000331E+02                         NaN
   6    0.304945718101096202E-13    0.330116411731623689E-13
   7    0.578111402652582819E+04    0.112109055335888386E+00
   8    0.470446463645377300E+01    0.120099014542132523E+00
   9    0.467193453295666801E-13    0.942067421347944983E-15
  10    0.399700488018206355E-14    0.719212601144596183E-15

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.804695916825841515E-13
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.276197977409108512E-14
   7    0.578108975087539238E+04
   8    0.472148812728622591E+01
   9    0.468765599626318536E-13
  10    0.407141168836094121E-14

MAP Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.804695916825841515E-13
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.276197977409108512E-14
   7    0.578108975087539238E+04
   8    0.472148812728622591E+01
   9    0.468765599626318536E-13
  10    0.407141168836094121E-14
