Nested Sampling Global Log-Evidence           :   -0.108491858654005128E+03  +/-    0.380258055411084150E+00
Nested Importance Sampling Global Log-Evidence:   -0.113399090932255575E+03  +/-    0.166488470051552699E-01

Dim No.       Mean        Sigma
   1    0.560573040000000492E+04    0.149504989183543572E-03
   2    0.296579000000000299E+02    0.825906184944571110E-06
   3    0.646940012150025147E-14    0.657076860661829404E-14
   4    0.566551170000001457E+04                         NaN
   5    0.356489000000000473E+02    0.953674316406250000E-06
   6    0.752319713446613603E-13    0.667750031378682983E-14
   7    0.577907878882095338E+04    0.102352892671139184E+01
   8    0.599056305572557779E+01    0.849108869244513897E+00
   9    0.318616988310131132E-13    0.392385663565243889E-14
  10    0.406253029785726062E-14    0.706332946134034039E-15
  11    0.578255303581705994E+04    0.113970871269916985E+01
  12    0.269861080296490208E+01    0.979536707716791244E+00
  13    0.178247361713426990E-13    0.407546234982143634E-14
  14    0.192014914606659438E-14    0.732878624344244818E-15

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.105690086742910381E-14
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.809262087278596577E-13
   7    0.577932670324983155E+04
   8    0.592295199887409485E+01
   9    0.348002768939186757E-13
  10    0.366905912619061501E-14
  11    0.578289753616411508E+04
  12    0.227603617569035377E+01
  13    0.144662962073929818E-13
  14    0.142221033441622067E-14

MAP Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.105690086742910381E-14
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.809262087278596577E-13
   7    0.577932670324983155E+04
   8    0.592295199887409485E+01
   9    0.348002768939186757E-13
  10    0.366905912619061501E-14
  11    0.578289753616411508E+04
  12    0.227603617569035377E+01
  13    0.144662962073929818E-13
  14    0.142221033441622067E-14
