Nested Sampling Global Log-Evidence           :   -0.100274187153144354E+03  +/-    0.424209598057660564E+00
Nested Importance Sampling Global Log-Evidence:   -0.108584494431097426E+03  +/-    0.451695709501940754E-01

Dim No.       Mean        Sigma
   1    0.560573039999999764E+04                         NaN
   2    0.296578999999999944E+02                         NaN
   3    0.638650667660642799E-14    0.680259681681583032E-14
   4    0.566551169999999547E+04    0.863167457503109830E-04
   5    0.356488999999999407E+02    0.165181236988914222E-05
   6    0.688235368165949303E-13    0.695309248242970331E-14
   7    0.578332733882118282E+04    0.197993474829928795E+00
   8    0.198048377293390998E+01    0.243616537583153631E+00
   9    0.115429382835959026E-13    0.269267043237098767E-14
  10    0.141201175023351163E-14    0.278911247140781589E-15
  11    0.577489351959585292E+04    0.594868318422624043E+01
  12    0.968542249149520629E+01    0.521381674518760807E+01
  13    0.215786059152283505E-13    0.103152640044596054E-13
  14    0.640338503552505104E-14    0.360935098821665527E-14
  15    0.577450665198874049E+04    0.585575996906440199E+01
  16    0.102119561896755400E+02    0.526189700654298065E+01
  17    0.207780735521476286E-13    0.102563554414096425E-13
  18    0.669191584407301196E-14    0.357966230431822445E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.569606762727521519E-14
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.703129046663828533E-13
   7    0.578330764895179072E+04
   8    0.190937416101043600E+01
   9    0.955988681195048758E-14
  10    0.129203687536065592E-14
  11    0.578019586983645604E+04
  12    0.465644096624183845E+01
  13    0.326500583074930906E-13
  14    0.282676892088271226E-14
  15    0.577154061504038054E+04
  16    0.161448765137782999E+02
  17    0.115537008753618937E-13
  18    0.952356996225637674E-14

MAP Parameters
Dim No.        Parameter
   1    0.560573040000000037E+04
   2    0.296579000000000015E+02
   3    0.569606762727521519E-14
   4    0.566551170000000002E+04
   5    0.356488999999999976E+02
   6    0.703129046663828533E-13
   7    0.578330764895179072E+04
   8    0.190937416101043600E+01
   9    0.955988681195048758E-14
  10    0.129203687536065592E-14
  11    0.578019586983645604E+04
  12    0.465644096624183845E+01
  13    0.326500583074930906E-13
  14    0.282676892088271226E-14
  15    0.577154061504038054E+04
  16    0.161448765137782999E+02
  17    0.115537008753618937E-13
  18    0.952356996225637674E-14
